plot_id,species,abundance
10,Carpinus betulus,46
7,Picea abies,19
3,Picea abies,45
2,Quercus robur,11
10,Abies alba,16
1,Betula pendula,40
10,Alnus glutinosa,9
10,Acer platanoides,50
8,Quercus robur,28
10,Betula pendula,24
5,Carpinus betulus,10
7,Carpinus betulus,15
8,Pinus sylvestris,37
5,Abies alba,32
6,Alnus glutinosa,37
8,Picea abies,39
1,Fagus sylvatica,31
3,Picea abies,37
10,Pinus sylvestris,29
3,Betula pendula,12
1,Quercus robur,14
6,Carpinus betulus,38
6,Abies alba,16
4,Betula pendula,15
9,Betula pendula,2
5,Picea abies,1
1,Quercus robur,3
3,Betula pendula,9
6,Picea abies,38
3,Picea abies,17
